Time_Step,Z17.5_Concentration,Z2.5_Concentration
1236,0.0625,0.1675
1237,0.075,0.1575
1238,0.07,0.1725
1239,0.0775,0.1525
1240,0.065,0.17
1241,0.065,0.185
1242,0.1025,0.17
1243,0.075,0.2
1244,0.1125,0.1825
1245,0.09,0.1825
1246,0.0675,0.205
1247,0.09,0.21
1248,0.0775,0.1375
1249,0.0825,0.1775
1250,0.0975,0.1975
1251,0.0725,0.1775
1252,0.09,0.1925
1253,0.0625,0.2
1254,0.0725,0.16
1255,0.05,0.1825
1256,0.05,0.23
1257,0.0625,0.21
1258,0.0725,0.17
1259,0.0825,0.22
1260,0.075,0.2125
1261,0.0775,0.2025
1262,0.0825,0.21
1263,0.0625,0.1875
1264,0.075,0.1775
1265,0.06,0.2025
1266,0.0775,0.2
1267,0.075,0.2
1268,0.0925,0.1675
1269,0.105,0.1875
1270,0.095,0.225
1271,0.08,0.205
1272,0.0625,0.1825
1273,0.065,0.2025
1274,0.06,0.175
1275,0.0725,0.1875
1276,0.095,0.1525
1277,0.0725,0.1875
1278,0.07,0.2
1279,0.0825,0.16
1280,0.0825,0.1875
1281,0.075,0.23
1282,0.08,0.215
1283,0.07,0.1625
1284,0.0775,0.205
1285,0.0625,0.18
1286,0.06,0.1625
1287,0.08,0.2
1288,0.085,0.2075
1289,0.0625,0.17
1290,0.0875,0.155
1291,0.07,0.165
1292,0.0725,0.1625
1293,0.08,0.185
1294,0.07,0.1975
1295,0.07,0.215
1296,0.0875,0.18
1297,0.085,0.24
1298,0.0875,0.1925
1299,0.0825,0.185
1300,0.1,0.1875
1301,0.0975,0.21
1302,0.11,0.2075
1303,0.0825,0.1825
1304,0.0675,0.2
1305,0.075,0.2125
1306,0.085,0.205
1307,0.0775,0.1775
1308,0.0725,0.18
1309,0.0825,0.2
1310,0.0725,0.1725
1311,0.09,0.205
1312,0.1,0.2
1313,0.0875,0.1675
1314,0.075,0.1975
1315,0.085,0.205
1316,0.07,0.1625
1317,0.07,0.185
1318,0.0875,0.2
1319,0.085,0.1825
1320,0.07,0.1775
1321,0.0775,0.1575
1322,0.05,0.1675
1323,0.0775,0.165
1324,0.0925,0.175
1325,0.0775,0.1725
1326,0.085,0.185
1327,0.07,0.2
1328,0.065,0.1925
1329,0.09,0.1575
1330,0.0825,0.17
1331,0.065,0.145
1332,0.0775,0.1825
1333,0.0725,0.1875
1334,0.095,0.19
1335,0.1075,0.1925
1336,0.0825,0.2125
1337,0.065,0.2
1338,0.09,0.1725
1339,0.0625,0.1925
1340,0.0575,0.1725
1341,0.0875,0.1575
1342,0.08,0.175
1343,0.0975,0.1725
1344,0.0875,0.1975
1345,0.0875,0.2225
1346,0.0775,0.1875
1347,0.07,0.19
1348,0.0925,0.1725
1349,0.0875,0.1875
1350,0.095,0.1675
1351,0.085,0.1825
1352,0.1025,0.1825
1353,0.1,0.21
1354,0.085,0.195
1355,0.0775,0.1525
1356,0.0725,0.18
1357,0.085,0.185
1358,0.075,0.1525
1359,0.085,0.175
1360,0.0825,0.185
1361,0.0625,0.1825
1362,0.0675,0.2025
1363,0.0675,0.2325
1364,0.0575,0.1875
1365,0.0775,0.1625
1366,0.0925,0.1875
1367,0.0775,0.205
1368,0.0775,0.18
1369,0.0775,0.18
1370,0.08,0.1825
1371,0.075,0.21
1372,0.0925,0.21
1373,0.08,0.17
1374,0.095,0.18
1375,0.09,0.17
1376,0.0775,0.2175
1377,0.105,0.2025
1378,0.1,0.185
1379,0.1125,0.1925
1380,0.0725,0.185
1381,0.095,0.18
1382,0.0825,0.195
1383,0.0625,0.185
1384,0.0725,0.195
1385,0.0975,0.16
1386,0.065,0.1675
1387,0.07,0.145
1388,0.0725,0.2375
1389,0.0925,0.205
1390,0.0975,0.2175
1391,0.0825,0.2125
1392,0.07,0.18
1393,0.08,0.185
1394,0.09,0.18
1395,0.08,0.2275
1396,0.0875,0.22
1397,0.1125,0.205
1398,0.095,0.16
1399,0.0825,0.21
1400,0.0725,0.2075
1401,0.085,0.18
1402,0.07,0.2025
1403,0.085,0.18
1404,0.0875,0.195
1405,0.0875,0.165
1406,0.0775,0.185
1407,0.0675,0.2025
1408,0.0925,0.175
1409,0.0825,0.19
1410,0.06,0.1675
1411,0.1025,0.2275
1412,0.115,0.17
1413,0.0825,0.225
1414,0.1175,0.2
1415,0.1025,0.19
1416,0.0825,0.1975
1417,0.0975,0.1925
1418,0.11,0.1875
1419,0.08,0.195
1420,0.07,0.1475
1421,0.08,0.1725
1422,0.075,0.1325
1423,0.085,0.19
1424,0.0675,0.2175
1425,0.0825,0.18
1426,0.08,0.205
1427,0.0675,0.135
1428,0.0875,0.175
1429,0.0875,0.175
1430,0.0625,0.18
1431,0.0875,0.2025
1432,0.085,0.2075
1433,0.0875,0.195
1434,0.0875,0.2125
1435,0.1,0.205
1436,0.0925,0.195
1437,0.0725,0.185
1438,0.0825,0.2025
1439,0.055,0.22
1440,0.085,0.185
1441,0.11,0.1925
1442,0.0725,0.19
1443,0.08,0.2
1444,0.045,0.2175
1445,0.0675,0.1925
1446,0.105,0.1825
1447,0.0725,0.1925
1448,0.0725,0.215
1449,0.0825,0.21
1450,0.085,0.2175
1451,0.1075,0.2175
1452,0.055,0.2175
1453,0.0725,0.24
1454,0.055,0.2
1455,0.07,0.22
1456,0.105,0.205
1457,0.095,0.1725
1458,0.0825,0.2075
1459,0.08,0.2025
1460,0.09,0.1775
1461,0.0975,0.1775
1462,0.105,0.2075
1463,0.07,0.2075
1464,0.07,0.195
1465,0.0725,0.1975
1466,0.0775,0.185
1467,0.1,0.1975
1468,0.0975,0.17
1469,0.085,0.24
1470,0.0875,0.195
1471,0.125,0.23
1472,0.1025,0.2175
1473,0.1075,0.23
1474,0.0625,0.1925
1475,0.0775,0.17
1476,0.07,0.185
1477,0.08,0.1625
1478,0.0975,0.18
1479,0.1,0.2225
1480,0.09,0.1925
1481,0.085,0.19
1482,0.07,0.2
1483,0.0575,0.185
1484,0.0825,0.2025
1485,0.095,0.2025
1486,0.08,0.2125
1487,0.09,0.165
1488,0.075,0.225
1489,0.055,0.215
1490,0.075,0.1525
1491,0.085,0.1775
1492,0.0975,0.1825
1493,0.0975,0.1525
1494,0.0775,0.2025
1495,0.0725,0.21
1496,0.0675,0.1925
1497,0.07,0.2075
1498,0.0675,0.225
1499,0.065,0.2025
1500,0.0575,0.19
1501,0.07,0.2075
1502,0.0725,0.2275
1503,0.0675,0.2175
1504,0.055,0.2125
1505,0.0725,0.185
1506,0.0775,0.1825
1507,0.095,0.2075
1508,0.0925,0.1525
1509,0.0425,0.2025
1510,0.075,0.2225
1511,0.0725,0.1625
1512,0.0725,0.195
1513,0.0725,0.22
1514,0.105,0.2275
1515,0.07,0.19
1516,0.09,0.145
1517,0.08,0.2175
1518,0.0725,0.195
1519,0.0825,0.21
1520,0.08,0.165
1521,0.085,0.235
1522,0.0825,0.1775
1523,0.0825,0.25
1524,0.0625,0.19
1525,0.0775,0.19
1526,0.09,0.175
1527,0.0525,0.1675
1528,0.0775,0.175
1529,0.07,0.2125
1530,0.09,0.1875
1531,0.0925,0.165
1532,0.095,0.165
1533,0.09,0.2075
1534,0.07,0.2025
1535,0.0775,0.1925
1536,0.0775,0.18
1537,0.085,0.185
1538,0.09,0.215
1539,0.085,0.19
1540,0.075,0.165
1541,0.09,0.135
1542,0.07,0.195
1543,0.08,0.1875
1544,0.0875,0.1675
1545,0.0925,0.22
1546,0.11,0.1975
1547,0.09,0.17
1548,0.0725,0.2175
1549,0.0825,0.1925
1550,0.0825,0.2375
1551,0.0675,0.165
1552,0.095,0.1775
1553,0.1075,0.2025
1554,0.0725,0.2025
1555,0.085,0.175
1556,0.085,0.23
1557,0.0875,0.1975
1558,0.0825,0.21
1559,0.085,0.1925
1560,0.1,0.1925
1561,0.0975,0.2025
1562,0.0825,0.1625
1563,0.0775,0.205
1564,0.07,0.2025
1565,0.0675,0.1875
1566,0.09,0.2075
1567,0.06,0.1775
1568,0.0875,0.1925
1569,0.0775,0.215
1570,0.0975,0.195
1571,0.0925,0.2075
1572,0.0525,0.185
1573,0.105,0.1775
1574,0.095,0.2025
1575,0.075,0.195
1576,0.085,0.205
1577,0.0875,0.185
1578,0.08,0.1975
1579,0.1025,0.18
1580,0.08,0.1975
1581,0.085,0.21
1582,0.085,0.2325
1583,0.1,0.1925
1584,0.1325,0.1725
1585,0.0775,0.1875
1586,0.075,0.19
1587,0.0625,0.2025
1588,0.1,0.2125
1589,0.0775,0.185
1590,0.0775,0.1875
1591,0.1025,0.225
1592,0.0825,0.195
1593,0.095,0.2325
1594,0.0875,0.2125
1595,0.0825,0.2125
1596,0.095,0.235
1597,0.08,0.18
1598,0.07,0.205
1599,0.09,0.22
1600,0.1025,0.1875
1601,0.085,0.22
1602,0.08,0.19
1603,0.085,0.245
1604,0.1,0.2175
1605,0.07,0.195
1606,0.07,0.1725
1607,0.0825,0.185
1608,0.055,0.1575
1609,0.0675,0.21
1610,0.0675,0.175
1611,0.0675,0.2225
1612,0.075,0.19
1613,0.06,0.1525
1614,0.0575,0.195
1615,0.09,0.2125
1616,0.0875,0.1875
1617,0.105,0.2025
1618,0.11,0.27
1619,0.09,0.2225
1620,0.0775,0.2325
1621,0.06,0.2025
1622,0.0475,0.1975
1623,0.08,0.2025
1624,0.08,0.235
1625,0.075,0.215
1626,0.0775,0.2275
1627,0.0675,0.1925
1628,0.0725,0.175
1629,0.0925,0.2
1630,0.0675,0.1925
1631,0.055,0.145
1632,0.085,0.2025
1633,0.095,0.2125
1634,0.0825,0.2025
1635,0.06,0.2175
1636,0.0925,0.1675
1637,0.0675,0.21
1638,0.0825,0.22
1639,0.0675,0.1975
1640,0.08,0.2425
1641,0.1075,0.215
1642,0.09,0.19
1643,0.0775,0.215
1644,0.07,0.155
1645,0.0625,0.175
1646,0.09,0.225
1647,0.0775,0.15
1648,0.075,0.2225
1649,0.095,0.1975
1650,0.08,0.195
1651,0.08,0.2025
1652,0.075,0.1975
1653,0.0725,0.155
1654,0.065,0.1975
1655,0.0625,0.17
1656,0.08,0.1725
1657,0.0625,0.21
1658,0.0675,0.2325
1659,0.07,0.24
1660,0.085,0.2175
1661,0.0725,0.1975
1662,0.0875,0.19
1663,0.08,0.1975
1664,0.0825,0.205
1665,0.05,0.2225
1666,0.08,0.2275
1667,0.0775,0.225
1668,0.065,0.1925
1669,0.0475,0.175
1670,0.0975,0.205
1671,0.0675,0.225
1672,0.0925,0.1775
1673,0.075,0.215
1674,0.065,0.205
1675,0.085,0.2125
1676,0.08,0.2025
1677,0.0925,0.205
1678,0.09,0.2425
1679,0.0725,0.2075
1680,0.085,0.1725
1681,0.1075,0.22
1682,0.0975,0.22
1683,0.1025,0.185
1684,0.1,0.1575
1685,0.0825,0.2025
1686,0.0925,0.19
1687,0.105,0.1975
1688,0.1075,0.235
1689,0.1025,0.215
1690,0.105,0.1925
1691,0.075,0.1975
1692,0.095,0.1975
1693,0.0975,0.2375
1694,0.0825,0.2325
1695,0.105,0.16
1696,0.11,0.205
1697,0.085,0.205
1698,0.0875,0.1925
1699,0.1025,0.2075
1700,0.0825,0.22
1701,0.0625,0.2175
1702,0.065,0.2
1703,0.09,0.2125
1704,0.065,0.2325
1705,0.065,0.2225
1706,0.09,0.2175
1707,0.07,0.1875
1708,0.0575,0.22
1709,0.0575,0.2225
1710,0.075,0.23
1711,0.09,0.2025
1712,0.0825,0.2375
1713,0.045,0.26
1714,0.07,0.1975
1715,0.0875,0.2025
1716,0.0575,0.1975
1717,0.055,0.2175
1718,0.06,0.205
1719,0.065,0.235
1720,0.0825,0.225
1721,0.065,0.18
1722,0.07,0.205
1723,0.0925,0.1925
1724,0.11,0.18
1725,0.0675,0.195
1726,0.0975,0.205
1727,0.08,0.175
1728,0.0675,0.255
1729,0.085,0.195
1730,0.1075,0.2125
1731,0.075,0.2225
1732,0.07,0.2525
1733,0.1,0.1925
1734,0.085,0.1675
1735,0.0825,0.185
1736,0.1025,0.185
1737,0.0825,0.1825
1738,0.1075,0.2225
1739,0.08,0.2075
1740,0.09,0.1825
1741,0.09,0.2075
1742,0.075,0.1975
1743,0.1,0.1575
1744,0.0875,0.18
1745,0.0975,0.19
1746,0.095,0.2175
1747,0.1025,0.17
1748,0.085,0.1825
1749,0.0825,0.205
1750,0.105,0.15
1751,0.1,0.1525
1752,0.095,0.1825
1753,0.105,0.2025
1754,0.08,0.205
1755,0.08,0.1525
1756,0.1,0.2225
1757,0.08,0.2175
1758,0.0825,0.195
1759,0.0775,0.1775
1760,0.09,0.2225
1761,0.1,0.1875
1762,0.0925,0.19
1763,0.07,0.165
1764,0.08,0.19
1765,0.08,0.2075
1766,0.06,0.2
1767,0.095,0.165
1768,0.0925,0.175
1769,0.085,0.21
1770,0.075,0.19
1771,0.0725,0.19
1772,0.1025,0.155
1773,0.09,0.19
1774,0.075,0.1625
1775,0.09,0.18
1776,0.06,0.2
1777,0.0625,0.1775
1778,0.07,0.18
1779,0.0775,0.1525
1780,0.075,0.185
1781,0.085,0.1975
1782,0.1075,0.17
1783,0.1025,0.17
1784,0.1125,0.2225
1785,0.085,0.2375
1786,0.09,0.19
1787,0.1225,0.185
1788,0.0825,0.19
1789,0.085,0.1825
1790,0.065,0.19
1791,0.0675,0.2075
1792,0.085,0.2175
1793,0.0925,0.2
1794,0.09,0.215
1795,0.1125,0.195
1796,0.09,0.16
1797,0.1,0.235
1798,0.12,0.185
1799,0.11,0.19
1800,0.0775,0.19
1801,0.08,0.21
1802,0.06,0.195
1803,0.08,0.2025
1804,0.0875,0.1875
1805,0.0975,0.1975
1806,0.0925,0.23
1807,0.0825,0.2075
1808,0.0825,0.17
1809,0.095,0.2275
1810,0.085,0.2175
1811,0.075,0.1775
1812,0.065,0.1975
1813,0.0875,0.18
1814,0.07,0.225
1815,0.065,0.1775
1816,0.085,0.2075
1817,0.08,0.235
1818,0.0675,0.22
1819,0.0775,0.2075
1820,0.0825,0.205
1821,0.0825,0.22
1822,0.075,0.1875
1823,0.0825,0.215
1824,0.0875,0.24
1825,0.0725,0.1925
1826,0.105,0.22
1827,0.07,0.1925
1828,0.085,0.18
1829,0.0925,0.165
1830,0.085,0.2275
1831,0.1,0.2
1832,0.0725,0.235
1833,0.0675,0.27
1834,0.085,0.1975
1835,0.1075,0.1825
1836,0.0825,0.2075
1837,0.0725,0.2175
1838,0.0525,0.185
1839,0.05,0.2
1840,0.0925,0.2175
1841,0.065,0.1925
1842,0.085,0.19
1843,0.08,0.2475
1844,0.075,0.205
1845,0.06,0.225
1846,0.0925,0.18
1847,0.09,0.205
1848,0.0775,0.175
1849,0.1025,0.1875
1850,0.1,0.205
1851,0.1,0.19
1852,0.0675,0.1525
1853,0.0725,0.2
1854,0.08,0.18
1855,0.0875,0.1925
1856,0.0975,0.1675
1857,0.085,0.22
1858,0.07,0.2025
1859,0.065,0.2025
1860,0.075,0.1925
1861,0.0925,0.2025
1862,0.06,0.1825
1863,0.0675,0.2125
1864,0.07,0.2
1865,0.0975,0.185
1866,0.1025,0.1475
1867,0.1,0.2025
1868,0.11,0.2325
1869,0.0875,0.235
1870,0.0825,0.2125
1871,0.07,0.24
1872,0.0875,0.2125
1873,0.0775,0.1675
1874,0.0725,0.1775
1875,0.0575,0.185
1876,0.055,0.195
1877,0.0775,0.1825
1878,0.0675,0.165
1879,0.08,0.1875
1880,0.08,0.2
1881,0.08,0.2375
1882,0.0775,0.2
1883,0.0675,0.1825
1884,0.0875,0.1775
1885,0.0975,0.18
1886,0.0875,0.2025
1887,0.07,0.1925
1888,0.1,0.185
1889,0.0725,0.185
1890,0.075,0.2025
1891,0.0925,0.1925
1892,0.0825,0.22
1893,0.0775,0.23
1894,0.08,0.185
1895,0.115,0.2175
1896,0.105,0.24
1897,0.0875,0.2225
1898,0.075,0.22
1899,0.07,0.2
1900,0.08,0.2225
1901,0.085,0.1875
1902,0.085,0.215
1903,0.0775,0.1875
1904,0.115,0.205
1905,0.0875,0.2125
1906,0.0825,0.215
1907,0.085,0.2325
1908,0.0975,0.2125
1909,0.0875,0.1825
1910,0.1025,0.1925
1911,0.09,0.1875
1912,0.0625,0.2
1913,0.085,0.205
1914,0.0825,0.1575
1915,0.07,0.1925
1916,0.095,0.21
1917,0.0975,0.205
1918,0.11,0.225
1919,0.08,0.19
1920,0.0925,0.195
1921,0.095,0.17
1922,0.075,0.2375
1923,0.085,0.225
1924,0.1,0.2
1925,0.075,0.1925
1926,0.085,0.245
1927,0.085,0.21
1928,0.09,0.1775
1929,0.085,0.21
1930,0.065,0.21
1931,0.0975,0.2075
1932,0.1175,0.2125
1933,0.105,0.1725
1934,0.08,0.215
1935,0.0675,0.175
1936,0.055,0.215
1937,0.065,0.1925
1938,0.0675,0.2125
1939,0.085,0.1975
1940,0.0775,0.175
1941,0.095,0.165
1942,0.1025,0.2275
1943,0.065,0.21
1944,0.0975,0.2
1945,0.07,0.23
1946,0.0675,0.215
1947,0.095,0.195
1948,0.0825,0.2125
1949,0.065,0.2175
1950,0.0525,0.1875
1951,0.0675,0.215
1952,0.095,0.2
1953,0.085,0.205
1954,0.0725,0.185
1955,0.07,0.1575
1956,0.095,0.1675
1957,0.095,0.2
1958,0.0775,0.2025
1959,0.0775,0.2275
1960,0.065,0.19
1961,0.0975,0.1925
1962,0.0925,0.2375
1963,0.065,0.225
1964,0.0925,0.215
1965,0.1125,0.215
1966,0.07,0.19
1967,0.085,0.21
1968,0.0725,0.24
1969,0.09,0.22
1970,0.0925,0.18
1971,0.0825,0.2
1972,0.085,0.195
1973,0.07,0.1775
1974,0.0925,0.23
1975,0.0925,0.2
1976,0.0575,0.2125
1977,0.075,0.1925
1978,0.1075,0.1925
1979,0.0975,0.165
1980,0.085,0.17
1981,0.1075,0.205
1982,0.0875,0.19
1983,0.0675,0.22
1984,0.09,0.1975
1985,0.1075,0.2
1986,0.0875,0.1775
1987,0.075,0.2325
1988,0.0925,0.21
1989,0.07,0.2475
1990,0.0675,0.1825
1991,0.0775,0.235
1992,0.0725,0.195
1993,0.095,0.2175
1994,0.0925,0.2625
1995,0.0925,0.2625
1996,0.105,0.215
1997,0.085,0.1925
1998,0.07,0.195
1999,0.0925,0.1975
2000,0.07,0.2075
2001,0.0725,0.245
2002,0.0625,0.2075
2003,0.09,0.23
2004,0.1125,0.2375
2005,0.1,0.2125
2006,0.0875,0.2525
2007,0.095,0.1975
2008,0.0725,0.2
2009,0.09,0.225
2010,0.1,0.205
2011,0.1,0.2025
2012,0.08,0.1925
2013,0.1075,0.1825
2014,0.0825,0.16
2015,0.0875,0.19
2016,0.0825,0.22
2017,0.095,0.21
2018,0.0775,0.1475
2019,0.1025,0.19
2020,0.0925,0.18
2021,0.065,0.175
2022,0.0725,0.21
2023,0.0925,0.195
2024,0.095,0.22
2025,0.0925,0.1775
2026,0.095,0.22
2027,0.0925,0.23
2028,0.1125,0.18
2029,0.0975,0.2275
2030,0.095,0.195
2031,0.08,0.23
2032,0.07,0.235
2033,0.06,0.2175
2034,0.06,0.1675
2035,0.095,0.1875
2036,0.07,0.19
2037,0.0725,0.2275
2038,0.0675,0.19
2039,0.09,0.245
2040,0.0775,0.195
2041,0.08,0.2075
2042,0.0625,0.16
2043,0.0825,0.185
2044,0.08,0.1825
2045,0.09,0.185
2046,0.095,0.1725
2047,0.1175,0.1975
2048,0.065,0.1775
2049,0.075,0.2025
2050,0.1,0.235
2051,0.1025,0.1675
2052,0.11,0.1875
2053,0.095,0.21
2054,0.105,0.1975
2055,0.0975,0.1875
2056,0.08,0.1825
2057,0.0825,0.1875
2058,0.09,0.2125
2059,0.075,0.19
2060,0.075,0.1775
2061,0.095,0.205
2062,0.0575,0.1925
2063,0.0775,0.2
2064,0.0675,0.185
2065,0.0775,0.2175
2066,0.0675,0.245
2067,0.0725,0.195
2068,0.075,0.1975
2069,0.08,0.235
2070,0.0675,0.2475
2071,0.075,0.205
2072,0.0875,0.1875
2073,0.0725,0.22
2074,0.1,0.2
2075,0.0675,0.235
2076,0.08,0.225
2077,0.0775,0.195
2078,0.085,0.2275
2079,0.0975,0.18
2080,0.0725,0.2025
2081,0.0725,0.21
2082,0.085,0.215
2083,0.07,0.2425
2084,0.0675,0.2375
2085,0.08,0.1875
2086,0.065,0.185
2087,0.06,0.19
2088,0.0725,0.205
2089,0.0625,0.2075
2090,0.065,0.2125
2091,0.06,0.1825
2092,0.075,0.23
2093,0.085,0.2175
2094,0.08,0.2525
2095,0.0925,0.2025
2096,0.085,0.21
2097,0.0775,0.175
2098,0.0775,0.1875
2099,0.0675,0.195
2100,0.0925,0.25
2101,0.07,0.1875
2102,0.075,0.1675
2103,0.0875,0.17
2104,0.0825,0.19
2105,0.0725,0.2125
2106,0.0975,0.21
2107,0.08,0.2
2108,0.0825,0.2225
2109,0.0725,0.1725
2110,0.095,0.225
2111,0.085,0.24
2112,0.0725,0.2025
2113,0.07,0.2125
2114,0.0975,0.21
2115,0.0675,0.175
2116,0.1,0.2
2117,0.0725,0.2275
2118,0.09,0.17
2119,0.095,0.205
2120,0.0625,0.2225
2121,0.1025,0.2275
2122,0.08,0.195
2123,0.0775,0.22
2124,0.1,0.1675
2125,0.075,0.1975
2126,0.095,0.1675
2127,0.09,0.2125
2128,0.075,0.2175
2129,0.065,0.23
2130,0.0725,0.2025
2131,0.075,0.1725
2132,0.0575,0.21
2133,0.06,0.1975
2134,0.06,0.185
2135,0.0625,0.2075
2136,0.0825,0.2
2137,0.0725,0.225
2138,0.0925,0.2025
2139,0.08,0.1675
2140,0.09,0.19
2141,0.0775,0.2125
2142,0.0925,0.18
2143,0.0925,0.1775
2144,0.1025,0.195
2145,0.095,0.215
2146,0.08,0.1675
2147,0.0775,0.195
2148,0.1025,0.2025
2149,0.085,0.205
2150,0.1,0.1675
2151,0.1225,0.16
2152,0.1225,0.2
2153,0.1175,0.2375
2154,0.07,0.1825
2155,0.0875,0.1825
2156,0.0975,0.185
2157,0.0825,0.18
2158,0.1125,0.2225
2159,0.1,0.205
2160,0.09,0.1875
2161,0.0675,0.1825
2162,0.0725,0.2175
2163,0.0875,0.2075
2164,0.0925,0.2025
2165,0.075,0.2025
2166,0.07,0.215
2167,0.06,0.2075
2168,0.085,0.2375
2169,0.0925,0.2025
2170,0.1,0.2125
2171,0.0825,0.21
2172,0.0625,0.19
2173,0.08,0.21
2174,0.09,0.1825
2175,0.1275,0.2275
2176,0.08,0.24
2177,0.095,0.23
2178,0.0925,0.2175
2179,0.0725,0.195
2180,0.0925,0.2375
2181,0.0875,0.1775
2182,0.0875,0.2
2183,0.08,0.185
2184,0.095,0.2225
2185,0.09,0.2025
2186,0.075,0.2275
2187,0.09,0.205
2188,0.0775,0.2425
2189,0.0725,0.1975
2190,0.065,0.185
2191,0.0625,0.2075
2192,0.095,0.2025
2193,0.075,0.1975
2194,0.0775,0.19
2195,0.065,0.175
2196,0.095,0.1975
2197,0.09,0.185
2198,0.06,0.2175
2199,0.0975,0.2025
2200,0.08,0.2025
2201,0.0925,0.205
2202,0.055,0.2025
2203,0.1175,0.205
2204,0.0925,0.2
2205,0.1,0.235
2206,0.1,0.195
2207,0.09,0.2225
2208,0.09,0.1875
2209,0.075,0.1825
2210,0.0875,0.205
2211,0.0975,0.195
2212,0.08,0.2
2213,0.0875,0.17
2214,0.1075,0.19
2215,0.075,0.225
2216,0.0725,0.21
2217,0.08,0.2175
2218,0.0625,0.185
2219,0.0675,0.2
2220,0.055,0.205
2221,0.0825,0.175
2222,0.1075,0.2175
2223,0.095,0.2075
2224,0.08,0.1975
2225,0.08,0.195
2226,0.0775,0.21
2227,0.095,0.2125
2228,0.08,0.1725
2229,0.0825,0.2
2230,0.09,0.21
2231,0.12,0.2175
2232,0.0975,0.2075
2233,0.09,0.1925
2234,0.0725,0.205
2235,0.1025,0.195
2236,0.07,0.145
2237,0.0875,0.215
2238,0.0775,0.1925
2239,0.07,0.175
2240,0.075,0.2325
2241,0.085,0.2425
2242,0.0975,0.1975
2243,0.0725,0.175
2244,0.085,0.2075
2245,0.11,0.1925
2246,0.11,0.18
2247,0.08,0.1875
2248,0.0925,0.2125
2249,0.08,0.22
2250,0.085,0.1775
2251,0.0775,0.22
2252,0.1,0.1975
2253,0.105,0.1925
2254,0.0975,0.17
2255,0.1,0.1775
2256,0.085,0.2175
2257,0.0925,0.2175
2258,0.1025,0.2125
2259,0.1025,0.18
2260,0.0925,0.195
2261,0.09,0.175
2262,0.075,0.21
2263,0.0725,0.195
2264,0.0975,0.2175
2265,0.0825,0.1775
2266,0.0775,0.18
2267,0.065,0.2225
2268,0.1025,0.165
2269,0.0875,0.1975
2270,0.065,0.2075
2271,0.0675,0.28
2272,0.075,0.25
2273,0.0825,0.23
2274,0.0975,0.2375
2275,0.05,0.245
2276,0.1025,0.2025
2277,0.0775,0.195
2278,0.08,0.2025
2279,0.0525,0.1875
2280,0.0725,0.205
2281,0.09,0.225
2282,0.0925,0.1975
2283,0.085,0.2175
2284,0.075,0.2025
2285,0.0675,0.22
2286,0.0725,0.23
2287,0.1025,0.2125
2288,0.07,0.205
2289,0.09,0.235
2290,0.08,0.21
2291,0.0825,0.225
2292,0.075,0.205
2293,0.075,0.215
2294,0.0725,0.15
2295,0.07,0.19
2296,0.0675,0.2175
2297,0.0675,0.215
2298,0.0825,0.2525
2299,0.08,0.2675
2300,0.0725,0.23
2301,0.105,0.24
2302,0.0775,0.235
2303,0.07,0.2375
2304,0.0825,0.2475
2305,0.0975,0.1975
2306,0.08,0.205
2307,0.06,0.2175
2308,0.075,0.2125
2309,0.075,0.2175
2310,0.0975,0.21
2311,0.08,0.1875
2312,0.105,0.2
2313,0.0625,0.1725
2314,0.065,0.205
2315,0.08,0.1775
2316,0.0775,0.21
2317,0.105,0.2175
2318,0.0925,0.23
2319,0.095,0.21
2320,0.0875,0.205
2321,0.085,0.1875
2322,0.0625,0.2275
2323,0.0975,0.1775
2324,0.11,0.1875
2325,0.0925,0.2175
2326,0.0925,0.19
2327,0.0775,0.2325
2328,0.095,0.19
2329,0.0875,0.2125
2330,0.055,0.18
2331,0.0675,0.185
2332,0.0825,0.2175
2333,0.0825,0.1775
2334,0.0975,0.2225
2335,0.0775,0.1775
2336,0.055,0.205
2337,0.0825,0.2125
2338,0.0875,0.22
2339,0.11,0.2275
2340,0.07,0.2375
2341,0.085,0.185
2342,0.1125,0.2325
2343,0.06,0.2125
2344,0.09,0.1925
2345,0.0875,0.2425
2346,0.0725,0.2
2347,0.0875,0.1875
2348,0.11,0.2125
2349,0.08,0.235
2350,0.065,0.195
2351,0.0725,0.215
2352,0.0875,0.2175
2353,0.07,0.1575
2354,0.07,0.1675
2355,0.0875,0.1625
2356,0.08,0.185
2357,0.0825,0.185
2358,0.0675,0.1775
2359,0.0925,0.1825
2360,0.095,0.1775
2361,0.065,0.22
2362,0.09,0.2075
2363,0.0775,0.1975
2364,0.0825,0.1925
2365,0.0675,0.225
2366,0.0775,0.2175
2367,0.08,0.205
2368,0.0875,0.205
2369,0.0875,0.145
2370,0.0975,0.195
2371,0.095,0.175
2372,0.085,0.2125
2373,0.0975,0.1725
2374,0.1075,0.1525
2375,0.06,0.1825
2376,0.0875,0.205
2377,0.1125,0.1675
2378,0.0925,0.1925
2379,0.0975,0.19
2380,0.09,0.1775
2381,0.1,0.215
2382,0.0925,0.1975
2383,0.0625,0.2175
2384,0.07,0.2175
2385,0.1,0.1975
2386,0.0625,0.23
2387,0.0875,0.245
2388,0.0925,0.205
2389,0.07,0.2175
2390,0.0975,0.2225
2391,0.0925,0.2125
2392,0.07,0.235
